Features,Importance
interaction_1,23.93
interaction_3,18.16
item_highest_return_rate,15.98
days_to_delivery,10.15
price,8.75
Item_Average_Price,7.27
feature_100,4.56
interaction_4,3.7
interaction_2,2.96
manufacturer_highest_return_rate,2.49
Customer_age,0.55
feature_1,0.43
feature_2,0.22
clothes,0.12
size_highest_return_rate,0.11
salutation_highest_return_rate,0.1
salutation_numb,0.1
Mrs,0.09
price_higher_average,0.08
feature_7,0.06
Mr,0.06
feature_8,0.04
feature_3,0.02
feature_6,0.01
feature_12,0.01
feature_5,0.01
feature_13,0.01
state_highest_return_rate,0.01
feature_9,0.01
feature_4,0.01
feature_11,0
feature_10,0
feature_15,0
feature_16,0
feature_17,0
feature_18,0
not reported,0
Family,0
Company,0
feature_14,0
